schema_version,run_id,task_id,agent_id,variant_id,sample_id,status,accuracy
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-3d-model-format-legacy-540ecc10e8,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-accelerate-maximal-square-06d74ebf9f,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-acl-permissions-inheritance-1301ee6820,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-adaptive-rejection-sampler-d73e90a96e,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-add-benchmark-lm-eval-harness-0f508e5cb2,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-aimo-airline-departures-d13186fa06,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-amuse-install-0c8c8f9956,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-analyze-access-logs-b32b3c2616,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-ancient-puzzle-1b2bb87af2,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-assign-seats-0b2d08d4db,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-attention-mil-1b8bf019cd,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-audio-synth-stft-peaks-36216c9fae,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-bank-trans-filter-d4d257c9a3,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-blind-maze-explorer-5x5-ce985e4121,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-blind-maze-explorer-algorithm-e4c2e59169,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-bn-fit-modify-2234f8a8db,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-break-filter-js-from-html-abd9f039c8,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-broken-networking-996f461310,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-broken-python-641fc29075,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-build-cython-ext-b04c56e716,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-build-initramfs-qemu-6bea4081e1,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-build-linux-kernel-qemu-0ba1f8ad86,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-build-pmars-94a11e922b,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-build-pov-ray-6f560ad8bc,error,0.0
v1,run-20260303T111415Z,terminalbench:test,terminalbench_official_agent,default,tb-build-stp-f113b54fff,error,0.0
